ID;Localidad;Fecha;Sexo;E_reprod;Peso (grs);Long_cef;Long_Total;Art_Pesca
1;Huancarane;03-11-2022;Macho;;123,15;69,09;151,15;G
2;Huancarane;03-11-2022;Macho;;114,79;59,95;144,47;G
3;Taltape Bajo;03-11-2022;Macho;;149,5;64,43;147,55;G
4;Taltape Bajo;03-11-2022;Macho;;79,57;53,64;135,49;G
5;Taltape Bajo;03-11-2022;Macho;;55,8;47,18;115,82;G
6;Taltape Bajo;03-11-2022;Macho;;97,46;57,77;139,3;G
7;Taltape Bajo;03-11-2022;Macho;;125,56;63,75;154,36;G
8;Taltape Bajo;03-11-2022;Macho;;118,06;60,96;152,27;G
9;Taltape Bajo;03-11-2022;Macho;;112,33;57,8;146,4;G
10;Taltape Bajo;03-11-2022;Macho;;125,41;59,61;145,08;G
11;Taltape Bajo;03-11-2022;Macho;;114,67;60,01;147,22;G
12;Taltape Bajo;03-11-2022;Macho;;117,16;63,59;151,06;G
13;Taltape Bajo;03-11-2022;Macho;;105,74;55,61;145,33;G
14;Taltape Bajo;03-11-2022;Macho;;116,13;62,31;137,12;G
15;Taltape Bajo;03-11-2022;Macho;;146,2;64,21;158,56;G
16;Taltape Bajo;03-11-2022;Macho;;81,92;52,2;133,36;G
17;Taltape Bajo;03-11-2022;Macho;;98,07;61,67;142,15;G
18;Taltape Bajo;03-11-2022;Macho;;111,33;58,39;152,21;G
19;Cuya;03-11-2022;Hembra;S/H;6,5;24,25;41,88;D
20;Cuya;03-11-2022;Hembra;S/H;7,57;23,88;64,22;D
21;Cuya;03-11-2022;Hembra;S/H;6,61;25,81;68,55;D
22;Taltape Bajo;03-11-2022;Hembra;S/H;8,57;25,8;67,93;D
23;Cuya;03-11-2022;Indet;;1,59;13,28;41,03;D
24;Cuya;07-01-2023;Macho;;27,33;41,64;95,78;PE-D
25;Cuya;07-01-2023;Macho;;80,49;50,2;126,39;G
26;Cuya;07-01-2023;Macho;;78,71;49,8;117,84;G
27;Cuya;07-01-2023;Macho;;68,09;46,31;119,63;G
28;Cuya;07-01-2023;Macho;;16,97;33,37;84;PE-D
29;Cuya;07-01-2023;Macho;;23,37;33,98;82,62;PE-D
30;Cuya;07-01-2023;Macho;;36,46;37,01;97,64;G
31;Cuya;07-01-2023;Macho;;38,09;40,13;101,68;G
32;Huancarane;07-01-2023;Macho;;24,66;42,45;95,7;G
33;Huancarane;07-01-2023;Macho;;21,68;33,96;94,08;G
34;Huancarane;07-01-2023;Macho;;155,45;68,97;152,92;G
35;Huancarane;07-01-2023;Macho;;29,61;34,59;99,34;PE-D
36;Huancarane;07-01-2023;Macho;;20,96;35,67;96,15;PE-D
37;Huancarane;07-01-2023;Macho;;153,11;63,51;153,08;G
38;Huancarane;07-01-2023;Macho;;162,88;66,06;157,66;G
39;Huancarane;07-01-2023;Macho;;179,56;65,48;160,67;G
40;Huancarane;07-01-2023;Macho;;130,83;66,94;146,98;PE-D
41;Huancarane;07-01-2023;Macho;;203,05;65,9;160,98;G
42;Conanoxa;07-01-2023;Macho;;27,61;38,56;97,76;PE-D
43;Conanoxa;07-01-2023;Macho;;15,96;33,35;84,5;PE-D
44;Conanoxa;07-01-2023;Macho;;42,79;43,74;103,03;G
45;Conanoxa;07-01-2023;Macho;;28,72;38,18;97,76;G
46;Conanoxa;07-01-2023;Macho;;58,14;47,93;111,07;G
47;Conanoxa;07-01-2023;Macho;;38,04;39,79;95,05;G
48;Conanoxa;07-01-2023;Macho;;39,02;41,01;103,32;PE-D
